title,content
"AI 에이전트 도입, 취업 준비에 실질적인... ","잡코리아가 AI 에이전트를 통해 구직자와 기업을 연결한다고 하던데, 실제로 취업 준비 과정에서 얼마나 도움이 될지 의문이에요. 예를 들어, 제가 원하는 직무나 기업의 문화에 맞는 기회를 AI가 잘 추천해주나요? 아니면 그냥 기존의 키워드 매칭 방식과 별 차이가 없을까요? 실제로 이 시스템을 통해 취업에 성공한 사례가 있는지, 그리고 준비 과정에서 어떤 식으로 활용하면 좋을지 팁을 얻고 싶습니다."
공기업(공공기관)취업,공기업(공공기관)취업 막연하게 공기업 취업을 희망하는데딱히 어떤 직무을 원하는게 아니라 할 수 있는 일을 하고 싶다란 생각인데 이런 경우 어떻게 준비해야할까요?
한국 대학 졸업 후 미국 취업,현재 한국 고등학교 재학 중인 학생입니다 대학교를 서연고 공대 쪽으로 갈 것 같은데 대학 졸업 후 미국에서 개발자로 취업할 수 있는지 아니면 미국 대학으로 편입하는 게 나은지 궁금합니다
해외취업 잘 되는 학과가 있나요?,저는 해외취업을 꿈꾸고 있는 고등학생 입니다! 오래 전부터 해외취업을 꿈꿔왔는데요 물론 해외 취업에 성공하여 해외살이를 한다는 것이 쉽지만은 않겠지만! 외국어로 다른 나라 사람들과 대화하며 다른 문화에서 일을 해보고 싶어요 아니면 한국에 있는 회사여도 해외인사팀 이런 곳에서 일해보고 싶기두 하고여ㅎㅎ 그래서 궁금합니다! 어떤 학과가 해외취업이 잘 되는지! 글로벌비즈니스학과 이런 곳이 해외취업이 잘 되려나요?
가구디자인학원 취업,가구디자인 공부를 하고  취업을 하려고 합니다   취업 준비까지 할 수 있는 곳이였으면 좋겠습니다
adhd 정신과 기록 취업,제가 지금 고2이고 모의고사 풀때나 자습할때 집중이 너무 안되고 무엇보다 잠들기전에 잡생각이 너무 많이 들어서 잠들기까지 2시간씩 걸릴때도 있거든요? 불면증도 너무 심해서 정신과 가서 adhd 검사받고 약먹고 싶은데 부모님이 병 기록 남아서 나중에 취업할때 불리하다 정신과는 아무나 가는게 아니다 이러면서 검사 못받게 하는데 실제로 취업할때 불리한가요?? 제가 나중에 공무원이 되고 싶은데 공무원은 시험통과하면 검강검진?그런거 받잖아요 adhd기록있다해서 좀 불이익있나요?
취업 후 3일만에 해고됬습니다,신입으로 면접시 아예 이쪽일경력없고 막내로 취업했습니다 3개월 수습후 정규직 전환5인미만으로 연차월차없고 3개월후 4대보험가입한다고 들었습니다 3일일하고있던중 아무것도모른다는이유로 해고됬습니다처음부터 막내뽑는다고하셨고 저도 배우려고 다른곳에취업됬지만왔습니다 3일만에 이런이유로 해고되었는데요5인미만이라 구제신청은안되는거아는데 억울학니다근로계약서 미작성했습니다 신고가능한게있나요?근로계약서미작성신고시 제가 불이득오는게있나요?
영어 통번역 자격증 취업 준비용으로는... ,"현재 3학년이고 해외영업이나 무역 쪽 생각 중입니다.  토익은 있는데 막상 실무 영어쪽이 좀 약한것같고 이걸 보여줄수있는 검증된 무언가가 필요한지 싶어서요. 인터넷에 영어 통번역 자격증 찾아보니까 종류가 여러 개 있던데, 대학생이 취업 준비용으로 따기엔 뭐가 제일 현실적인지 궁금합니다. 실제로 준비해보신 분들 계시면 난이도나 활용도 좀 알려주세요."
재가 취업이될까여,재가 컴활2급이랑 아이티큐 마스터 자격증 잇는데요 정신병이 있는데 취업될가여
국민취업지원제도 질문입니다,국민취업지원제도 / 내일배움카드 관련 질문드립니다안녕하세요. 제가 2023년 8월 8일 ~ 2024년 5월 7일까지국민취업지원제도 1유형을 참여했고 해당 기간 동안 취업은 하지 못한 상태로 종료되었습니다.현재 내일배움카드를 신청해서 학원을 다닐 계획인데 1.이런 경우에도 국민내일배움카드 신청이 가능한지 2.매일배움카드 신청과 동시에 국민취업지원제도 1유형을 다시 신청할 수 있는지 궁금합니다
일본취업비자 종류 문의드립니다,안녕하세요 일본취업비자 문의드립니다예를 들어 한국인이 미국에서 취업비자를 받을때 F1비자 처럼종류가 있는거로 아는데 일본에서능 어떤 비자종류가 있는지 알수있을까요?
실업급여 받는 중에 취업하면 어떻게... ,"현재 실업급여를 받고 있는 중인데, 최근에 취업 제안을 받아서 고민 중입니다. 만약 지금 취업하게 되면 실업급여는 바로 중단되는 건가요? 아니면 남은 기간 동안 계속 받을 수 있는 건가요? 취업하게 되면 구직활동 증명 이런 것도 해야 한다고 들었는데, 구체적으로 어떻게 해야 하는지 알고 싶습니다. 경험자 분들의 조언 부탁드려요."
전기 산업기사 기능사 취업,전기 산업기사 자격증과 기능사 자격증만으로 취업이 바로 가능할까요?? 제가 산기사와 기능사를 따고 2년정도 일한후에 전기기사를 따려하는데요. 이게 가능한 루트인지 알고싶습니다
취업고민..,itq랑 전산회계 2급 한능검 자격증 있으면 취업 할 수 있는곳이 있을까요?ㅠㅠ 어디에 할수있을까요
VMD호 해외 취업 가능 한가요?,"안녕하세요. 저는 제과제빵을 전공하였지만 잘 맞지 않아서 vmd로 진로를 전향 하려고 합니다. 그러나 현실적인 문제가 있어서 최적의 루트를 고민하다가 글을 올려요 제가 올해 30살이라 빨리 다른 나라에서 vmd로 먹고 살만한 루트를 정해야되는데, 지금은 호주 워홀중이고 다음에는 뉴질랜드 워홀을 갔다가 학생비자로 전환하려고 합니다. 사실 궁극적으로는 영어권 나라에서 영주권까지 생각중입니다. VMD로 해외 취업 어떤 루틴이 제일 최적인가요?"
학점은행제 취업 질문,학점은행제로 학사 따면당연히 취급은 낮을텐데학점은행제로 학사 따고 편입후 졸업하면 취급이 좋나요? 잘몰라서요..
공기업 취업학원 어디가 있을까요?,안녕하세요. 마포구에 살고있는 취준생입니다.올해 졸업을 하고 이제 공기업을 준비 해보려고 합니다.일단 준비된건 어학 토익 800점하고 컴활1급 한국사는 준비했습니다.문제는 그다음입니다. 서류를 제출해야 하는데 잘 모르겠습니다..면접도 하나도 모르겠구요.. NCS는 지금 교재를 하나 구입하긴 했습니다.이것도.. 만만하지는 않네요..ㅠㅠ그래서 공기업 관련해서 공기업 취업학원을 찾아 보려고 합니다.집이랑 가까우면 좋긴 하겠지만 그래도 서울에 있다면 다녀 볼까생각도 하고 있습니다.! 추천부탁드립니다.
개인사업자를 가지고 있는자가 취업하여... ,개인사업자를 가지고 있는자가 취업하였습니다. 두달간만 프리랜서로 3.3만 떼는것으로 신고하였고  일하다 다칠까봐 고용보험과 산재보험을 사업자에서 가입을 했습니다. 이로 인해 문제가 되는걸까요? 현제 세금이 밀려있어 폐업을 하지 못하고 있는상태이고 계속적으로 근무하기를 희망하고 있습니다. 어떻게 해야할지 계속3.3 떼고 고용보험과 산재보험을 유지해야하는지? 아님 고용보험과 산재보험을 상실신고 해야하는지 궁금합니다.
취업사실 신고 후 실업인정기간,2월 4일 실업급여를 받았고 2월 5일 취업을 했습니다.근데 첫 출근 후 정신이 없어서 2월 9일 취업사실 신고를 했는데실업급여 정보에는 실업인정 대상기간이라고 나오는데이 기간만큼 돈이 들어오는건가요?
실업급여 인정일 전 취업,실업급여 지급일이 24일인데 23일날 입사하게되었습니다. 24일 일 인정 신청을 그대로 해도되나요? 어니면 지급이 취소되는 건가요?
